	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0000287	Mapoly0048s0110.1.p	Niben101Scf00414g04001.1, Niben101Scf00905g10002.1, Niben101Scf02144g00002.1, Niben101Scf03856g06028.1, Niben101Scf09582g01022.1, Niben101Scf10095g01001.1
OG0000288	Mapoly0176s0016.1.p	Niben101Scf02830g01003.1, Niben101Scf02830g02026.1, Niben101Scf03595g15002.1, Niben101Scf04081g02013.1, Niben101Scf04081g02015.1, Niben101Scf04567g01003.1
OG0000289	Mapoly0088s0049.1.p	Niben101Scf00165g09001.1, Niben101Scf01172g01003.1, Niben101Scf03031g02017.1, Niben101Scf05937g02014.1, Niben101Scf06967g03008.1, Niben101Scf10559g01037.1
OG0000290	Mapoly0079s0072.1.p	Niben101Scf00063g14001.1, Niben101Scf00245g05005.1, Niben101Scf02483g06003.1, Niben101Scf06249g00009.1, Niben101Scf07508g10005.1, Niben101Scf07742g02002.1
OG0000291	Mapoly0013s0017.1.p	Niben101Scf00055g01004.1, Niben101Scf00219g07015.1, Niben101Scf01371g03010.1, Niben101Scf03072g06005.1, Niben101Scf03693g06002.1, Niben101Scf25108g00001.1
OG0000292	Mapoly0013s0117.1.p	Niben101Scf00152g14002.1, Niben101Scf01205g04009.1, Niben101Scf01205g04015.1, Niben101Scf01205g05002.1, Niben101Scf01702g08008.1, Niben101Scf03128g01004.1
OG0000293	Mapoly0013s0206.1.p	Niben101Ctg10282g00001.1, Niben101Scf01233g00008.1, Niben101Scf02112g02017.1, Niben101Scf12609g01007.1, Niben101Scf14688g00005.1, Niben101Scf16663g00002.1
OG0000294	Mapoly0013s0019.1.p	Niben101Scf00276g02002.1, Niben101Scf01951g01008.1, Niben101Scf02541g08003.1, Niben101Scf03403g03032.1, Niben101Scf03491g00002.1, Niben101Scf11770g01001.1
OG0000295	Mapoly0044s0132.1.p	Niben101Scf00527g01005.1, Niben101Scf00603g08024.1, Niben101Scf02494g08002.1, Niben101Scf07532g02017.1, Niben101Scf11361g00001.1, Niben101Scf12414g01019.1
OG0000296	Mapoly0044s0131.1.p, Mapoly0058s0118.1.p, Mapoly0058s0120.1.p	Niben101Scf00723g00006.1, Niben101Scf00783g02003.1, Niben101Scf00820g07012.1, Niben101Scf04419g01003.1
OG0000297	Mapoly0039s0109.1.p	Niben101Scf00536g05021.1, Niben101Scf00920g00002.1, Niben101Scf01687g01006.1, Niben101Scf04206g00007.1, Niben101Scf11124g00004.1, Niben101Scf19358g00014.1
OG0000298	Mapoly0047s0113.1.p	Niben101Scf00446g09005.1, Niben101Scf01818g04011.1, Niben101Scf07441g03001.1, Niben101Scf07690g00003.1, Niben101Scf14642g02007.1, Niben101Scf16532g00006.1
OG0000299	Mapoly0027s0030.1.p, Mapoly0036s0120.1.p, Mapoly0090s0085.1.p, Mapoly0090s0086.1.p	Niben101Scf00904g03011.1, Niben101Scf00904g03012.1, Niben101Scf02740g09004.1
OG0000300	Mapoly0100s0045.1.p, Mapoly0143s0039.1.p, Mapoly0185s0031.1.p, Mapoly0185s0032.1.p	Niben101Scf01594g02013.1, Niben101Scf03915g04005.1, Niben101Scf03915g04009.1
OG0000301	Mapoly0122s0050.1.p	Niben101Scf00276g05017.1, Niben101Scf02348g00005.1, Niben101Scf03241g00017.1, Niben101Scf03403g02027.1, Niben101Scf04574g01004.1, Niben101Scf07751g01008.1
OG0000302	Mapoly0001s0551.1.p, Mapoly0053s0048.1.p	Niben101Scf00974g02009.1, Niben101Scf01054g13007.1, Niben101Scf02451g10014.1, Niben101Scf03224g06001.1, Niben101Scf06976g03016.1
OG0000303	Mapoly0014s0079.1.p	Niben101Scf02280g01015.1, Niben101Scf03779g07007.1, Niben101Scf05017g04011.1, Niben101Scf07311g01004.1, Niben101Scf07320g00021.1, Niben101Scf09432g00008.1
OG0000304	Mapoly0014s0139.1.p	Niben101Scf00085g04001.1, Niben101Scf04675g02001.1, Niben101Scf05272g00013.1, Niben101Scf05923g03011.1, Niben101Scf09513g00033.1, Niben101Scf12628g02006.1
OG0000305	Mapoly0105s0026.1.p	Niben101Ctg15987g00002.1, Niben101Scf00324g02002.1, Niben101Scf00324g02012.1, Niben101Scf00410g01013.1, Niben101Scf02011g03008.1, Niben101Scf06529g06006.1
OG0000306	Mapoly0105s0028.1.p	Niben101Scf00341g03009.1, Niben101Scf04444g05008.1, Niben101Scf04444g06005.1, Niben101Scf04847g02001.1, Niben101Scf07147g01006.1, Niben101Scf09729g00021.1
OG0000307	Mapoly0190s0014.1.p	Niben101Ctg13912g00003.1, Niben101Scf00371g00005.1, Niben101Scf00987g02009.1, Niben101Scf07763g02004.1, Niben101Scf07798g02004.1, Niben101Scf18000g00028.1
OG0000308	Mapoly0001s0365.1.p, Mapoly0042s0064.1.p	Niben101Ctg13000g00001.1, Niben101Scf00398g03005.1, Niben101Scf01616g07015.1, Niben101Scf03085g01001.1, Niben101Scf08304g04013.1
OG0000309	Mapoly0108s0003.1.p, Mapoly0110s0051.1.p	Niben101Scf00337g01009.1, Niben101Scf00376g03010.1, Niben101Scf01301g03020.1, Niben101Scf02210g07002.1, Niben101Scf02632g06008.1
OG0000310	Mapoly0009s0054.1.p	Niben101Scf00414g08002.1, Niben101Scf00693g01011.1, Niben101Scf04444g09017.1, Niben101Scf04739g00009.1, Niben101Scf04847g02010.1, Niben101Scf15166g01003.1
OG0000311	Mapoly0009s0008.1.p	Niben101Scf00220g04015.1, Niben101Scf01147g01007.1, Niben101Scf01374g01016.1, Niben101Scf03287g02002.1, Niben101Scf04494g00018.1, Niben101Scf05709g01021.1
OG0000312	Mapoly0011s0100.1.p	Niben101Scf00902g04001.1, Niben101Scf01337g06007.1, Niben101Scf01981g00002.1, Niben101Scf04339g08004.1, Niben101Scf04339g08005.1, Niben101Scf04339g08009.1
OG0000313	Mapoly0028s0005.1.p, Mapoly0188s0019.1.p	Niben101Scf03307g04014.1, Niben101Scf03809g01013.1, Niben101Scf08293g00013.1, Niben101Scf08706g01013.1, Niben101Scf32020g00001.1
OG0000314	Mapoly0060s0061.1.p	Niben101Scf01105g03002.1, Niben101Scf02603g01012.1, Niben101Scf03302g04002.1, Niben101Scf04900g00007.1, Niben101Scf04954g04005.1, Niben101Scf29273g00001.1
OG0000315	Mapoly0075s0051.1.p, Mapoly0075s0051.11.p	Niben101Ctg11552g00002.1, Niben101Scf01018g04014.1, Niben101Scf03170g05006.1, Niben101Scf05582g04010.1, Niben101Scf09109g01012.1
OG0000316	Mapoly0077s0062.1.p	Niben101Scf04217g04001.1, Niben101Scf04703g04004.1, Niben101Scf04703g05004.1, Niben101Scf05030g03006.1, Niben101Scf09665g01003.1, Niben101Scf09665g01005.1
OG0000317	Mapoly0015s0004.1.p	Niben101Scf00264g00002.1, Niben101Scf00377g01003.1, Niben101Scf05425g00012.1, Niben101Scf05839g00020.1, Niben101Scf07607g02002.1, Niben101Scf12762g00008.1
OG0000318	Mapoly0001s0565.1.p	Niben101Scf00759g01007.1, Niben101Scf02280g04002.1, Niben101Scf02798g07007.1, Niben101Scf03779g05017.1, Niben101Scf04044g01027.1, Niben101Scf05954g00002.1
OG0000319	Mapoly0001s0454.1.p	Niben101Scf01119g02014.1, Niben101Scf01171g03019.1, Niben101Scf02982g03001.1, Niben101Scf06998g00005.1, Niben101Scf14412g00015.1, Niben101Scf32522g00006.1
OG0000320	Mapoly0043s0109.1.p	Niben101Scf00568g04071.1, Niben101Scf02913g00006.1, Niben101Scf04328g00044.1, Niben101Scf06437g06009.1, Niben101Scf17987g00001.1, Niben101Scf36713g00001.1
OG0000321	Mapoly0043s0098.1.p	Niben101Scf01759g07006.1, Niben101Scf02669g00003.1, Niben101Scf03206g01008.1, Niben101Scf05444g04004.1, Niben101Scf06123g07001.1, Niben101Scf07851g03001.1
OG0000322	Mapoly0109s0015.1.p	Niben101Ctg09102g00003.1, Niben101Scf01400g02008.1, Niben101Scf02361g05004.1, Niben101Scf07140g00016.1, Niben101Scf07518g00007.1, Niben101Scf08127g03003.1
OG0000323	Mapoly0027s0148.1.p	Niben101Scf01148g00017.1, Niben101Scf02093g01004.1, Niben101Scf04120g00001.1, Niben101Scf04387g01035.1, Niben101Scf04436g13010.1, Niben101Scf05824g14008.1
OG0000324	Mapoly0051s0105.1.p	Niben101Scf00904g04003.1, Niben101Scf01100g06020.1, Niben101Scf02740g08001.1, Niben101Scf05108g04020.1, Niben101Scf06376g03005.1, Niben101Scf29813g00001.1
OG0000325	Mapoly2755s0001.1.p	Niben101Scf00381g03001.1, Niben101Scf00875g04004.1, Niben101Scf02203g04006.1, Niben101Scf02812g00002.1, Niben101Scf07027g04018.1, Niben101Scf08026g02046.1
OG0000326	Mapoly0108s0018.1.p	Niben101Scf01220g03014.1, Niben101Scf04738g02001.1, Niben101Scf06584g00004.1, Niben101Scf06664g00004.1, Niben101Scf07441g03012.1, Niben101Scf12367g00001.1
OG0000327	Mapoly0010s0102.1.p	Niben101Scf03848g01005.1, Niben101Scf08080g02005.1, Niben101Scf09819g04005.1, Niben101Scf11491g00012.1, Niben101Scf16532g02005.1, Niben101Scf18667g01002.1
OG0000328	Mapoly0007s0168.1.p	Niben101Scf00581g00001.1, Niben101Scf00996g00015.1, Niben101Scf02257g01009.1, Niben101Scf02531g02012.1, Niben101Scf02531g02013.1, Niben101Scf30670g00003.1
OG0000329	Mapoly0024s0022.1.p	Niben101Ctg10643g00004.1, Niben101Scf01341g01002.1, Niben101Scf02044g02005.1, Niben101Scf03385g01006.1, Niben101Scf03385g02011.1, Niben101Scf03385g02012.1
OG0000330	Mapoly0002s0015.1.p	Niben101Scf01232g02005.1, Niben101Scf01375g08016.1, Niben101Scf01615g01009.1, Niben101Scf05112g01009.1, Niben101Scf07937g02012.1, Niben101Scf09840g00007.1
OG0000331	Mapoly0026s0085.1.p	Niben101Scf00853g07006.1, Niben101Scf00991g05009.1, Niben101Scf02282g00001.1, Niben101Scf03747g04010.1, Niben101Scf04627g02010.1, Niben101Scf11325g00032.1
OG0000332	Mapoly0034s0060.1.p	Niben101Ctg13861g00002.1, Niben101Scf00388g07005.1, Niben101Scf02053g00003.1, Niben101Scf02740g15001.1, Niben101Scf11516g00011.1, Niben101Scf15817g01015.1
OG0000333	Mapoly0034s0139.1.p	Niben101Scf01653g02022.1, Niben101Scf02085g12016.1, Niben101Scf02583g01003.1, Niben101Scf03944g05010.1, Niben101Scf05629g00005.1, Niben101Scf17983g00001.1
OG0000334	Mapoly0147s0011.1.p	Niben101Scf01236g02005.1, Niben101Scf01820g00027.1, Niben101Scf02328g00014.1, Niben101Scf02344g00007.1, Niben101Scf03018g12005.1, Niben101Scf14883g02006.1
OG0000335	Mapoly0091s0009.1.p	Niben101Scf02790g05008.1, Niben101Scf04018g06007.1, Niben101Scf06042g03007.1, Niben101Scf09527g01015.1, Niben101Scf11108g00002.1, Niben101Scf11447g02004.1
OG0000336	Mapoly0134s0027.1.p	Niben101Scf00606g00010.1, Niben101Scf01701g07009.1, Niben101Scf04551g04015.1, Niben101Scf05764g05016.1, Niben101Scf10490g00011.1, Niben101Scf16622g00003.1
OG0000337	Mapoly0016s0189.1.p	Niben101Scf00321g02011.1, Niben101Scf01469g05002.1, Niben101Scf02393g01002.1, Niben101Scf06324g00004.1, Niben101Scf10464g00006.1, Niben101Scf12686g02007.1
OG0000338	Mapoly0100s0029.1.p	Niben101Scf02083g03005.1, Niben101Scf03245g00004.1, Niben101Scf06024g01005.1, Niben101Scf06404g00009.1, Niben101Scf10027g00002.1, Niben101Scf18902g00009.1
OG0000339	Mapoly0005s0035.1.p, Mapoly0039s0105.1.p, Mapoly0047s0049.1.p, Mapoly0047s0051.1.p, Mapoly0055s0015.1.p, Mapoly0183s0021.1.p	
OG0000340	Mapoly0005s0162.1.p	Niben101Ctg15394g00005.1, Niben101Ctg16196g00001.1, Niben101Scf00812g03001.1, Niben101Scf05488g00005.1, Niben101Scf12652g00014.1
OG0000341	Mapoly0005s0021.1.p	Niben101Ctg11395g00002.1, Niben101Scf00140g01005.1, Niben101Scf01936g06010.1, Niben101Scf03373g04011.1, Niben101Scf13843g00018.1
OG0000342	Mapoly0005s0287.1.p	Niben101Scf00096g02003.1, Niben101Scf02700g00006.1, Niben101Scf03702g02001.1, Niben101Scf06661g03006.1, Niben101Scf13683g01004.1
OG0000343	Mapoly0010s0113.1.p, Mapoly0157s0025.1.p	Niben101Scf01061g01030.1, Niben101Scf01628g00023.1, Niben101Scf05605g00046.1, Niben101Scf07405g01009.1
OG0000344	Mapoly0157s0015.1.p, Mapoly0252s0007.1.p	Niben101Scf02699g00022.1, Niben101Scf05969g01008.1, Niben101Scf06142g00005.1, Niben101Scf08162g00005.1
OG0000345	Mapoly0136s0021.1.p	Niben101Scf01611g03015.1, Niben101Scf02392g00002.1, Niben101Scf04143g00001.1, Niben101Scf04194g00021.1, Niben101Scf18637g02020.1
OG0000346	Mapoly0033s0056.1.p	Niben101Scf00254g08006.1, Niben101Scf02290g05019.1, Niben101Scf02441g01003.1, Niben101Scf06238g01014.1, Niben101Scf06590g01004.1
OG0000347	Mapoly0021s0099.1.p, Mapoly0033s0032.1.p, Mapoly0066s0003.1.p	Niben101Scf01100g02002.1, Niben101Scf05829g00018.1, Niben101Scf10287g01022.1
OG0000348	Mapoly0093s0070.1.p, Mapoly0101s0052.1.p	Niben101Scf01655g02022.1, Niben101Scf06436g03010.1, Niben101Scf08711g01016.1, Niben101Scf15067g03002.1
OG0000349	Mapoly0001s0006.1.p, Mapoly0016s0138.1.p, Mapoly0101s0043.1.p, Mapoly0101s0044.1.p, Mapoly0129s0013.1.p	Niben101Scf04987g00022.1
OG0000350	Mapoly0001s0210.1.p, Mapoly0001s0211.1.p, Mapoly0001s0488.1.p, Mapoly0101s0038.1.p, Mapoly0212s0012.1.p, Mapoly0212s0013.1.p	
OG0000351	Mapoly0150s0019.1.p	Niben101Scf00539g07029.1, Niben101Scf00780g01026.1, Niben101Scf00807g03020.1, Niben101Scf03503g01007.1, Niben101Scf05952g01008.1
OG0000352	Mapoly0020s0075.1.p	Niben101Scf02543g04012.1, Niben101Scf03215g02001.1, Niben101Scf04339g04003.1, Niben101Scf07194g00014.1, Niben101Scf11724g06004.1
OG0000353	Mapoly0004s0143.1.p, Mapoly0015s0167.1.p, Mapoly0020s0067.1.p, Mapoly0066s0008.1.p, Mapoly0200s0008.1.p, Mapoly0217s0001.1.p	
OG0000354	Mapoly0020s0157.1.p	Niben101Scf00564g01004.1, Niben101Scf02031g03003.1, Niben101Scf02831g04005.1, Niben101Scf06058g00017.1, Niben101Scf35933g00004.1
OG0000355	Mapoly0020s0081.1.p, Mapoly0109s0033.1.p	Niben101Scf00063g06035.1, Niben101Scf00519g00013.1, Niben101Scf07231g02016.1, Niben101Scf07508g01001.1
OG0000356	Mapoly0065s0061.1.p, Mapoly0065s0063.1.p, Mapoly0071s0075.1.p, Mapoly0073s0049.1.p, Mapoly0218s0009.1.p, Mapoly2449s0001.1.p	
OG0000357	Mapoly0065s0033.1.p	Niben101Scf00565g00009.1, Niben101Scf00730g00009.1, Niben101Scf07741g02004.1, Niben101Scf08972g02004.1, Niben101Scf11009g00050.1
OG0000358	Mapoly0038s0046.1.p	Niben101Scf00536g03001.1, Niben101Scf03487g00013.1, Niben101Scf03628g14017.1, Niben101Scf09559g01002.1, Niben101Scf10248g00007.1
OG0000359	Mapoly0038s0075.1.p	Niben101Scf04763g00013.1, Niben101Scf04763g00014.1, Niben101Scf06026g00002.1, Niben101Scf11341g00009.1, Niben101Scf17051g00007.1
OG0000360	Mapoly0041s0116.1.p	Niben101Scf02211g01007.1, Niben101Scf03621g01017.1, Niben101Scf05302g04012.1, Niben101Scf08368g01012.1, Niben101Scf13229g00002.1
OG0000361	Mapoly0041s0093.1.p	Niben101Scf00479g02014.1, Niben101Scf02164g06014.1, Niben101Scf02595g04007.1, Niben101Scf04416g00012.1, Niben101Scf07313g00004.1
OG0000362	Mapoly0113s0006.1.p	Niben101Scf00536g02005.1, Niben101Scf01068g01004.1, Niben101Scf04933g00008.1, Niben101Scf09559g00005.1, Niben101Scf10248g01017.1
OG0000363	Mapoly0135s0002.1.p	Niben101Scf00712g02010.1, Niben101Scf01631g00002.1, Niben101Scf03309g06007.1, Niben101Scf04209g00004.1, Niben101Scf08921g02019.1
OG0000364	Mapoly0008s0001.1.p, Mapoly0008s0045.1.p, Mapoly0008s0258.1.p, Mapoly0029s0148.1.p, Mapoly0085s0017.1.p, Mapoly0448s0001.1.p	
OG0000365	Mapoly0146s0009.1.p	Niben101Scf00393g03008.1, Niben101Scf02167g00006.1, Niben101Scf03227g03017.1, Niben101Scf05025g11024.1, Niben101Scf11465g00008.1
OG0000366	Mapoly0146s0035.1.p	Niben101Scf00635g07006.1, Niben101Scf03027g02011.1, Niben101Scf03971g01009.1, Niben101Scf04400g02002.1, Niben101Scf11389g01018.1
OG0000367	Mapoly0017s0030.1.p, Mapoly0030s0109.1.p, Mapoly0594s0001.1.p, Mapoly2680s0001.1.p	Niben101Scf07841g02013.1, Niben101Scf12938g00003.1
OG0000368	Mapoly0073s0044.1.p	Niben101Scf00246g00001.1, Niben101Scf01764g02004.1, Niben101Scf02077g07002.1, Niben101Scf02398g01001.1, Niben101Scf04287g02002.1
OG0000369	Mapoly0050s0060.1.p, Mapoly0129s0026.1.p	Niben101Scf00478g05003.1, Niben101Scf03274g03015.1, Niben101Scf03584g00005.1, Niben101Scf05004g04012.1
OG0000370	Mapoly0050s0130.1.p	Niben101Scf00942g00003.1, Niben101Scf02907g06004.1, Niben101Scf02907g06016.1, Niben101Scf02907g06031.1, Niben101Scf04906g00013.1
OG0000371	Mapoly0040s0020.1.p, Mapoly0180s0010.1.p	Niben101Scf00297g00013.1, Niben101Scf03486g01008.1, Niben101Scf04416g00015.1, Niben101Scf05982g00006.1
OG0000372	Mapoly0031s0135.1.p, Mapoly0140s0028.1.p	Niben101Scf00739g04037.1, Niben101Scf03224g12005.1, Niben101Scf03930g03002.1, Niben101Scf07829g01013.1
OG0000373	Mapoly0174s0004.1.p	Niben101Scf02289g02009.1, Niben101Scf03551g01010.1, Niben101Scf06674g05010.1, Niben101Scf08127g01015.1, Niben101Scf08394g00001.1
OG0000374	Mapoly0174s0020.1.p	Niben101Scf01189g04011.1, Niben101Scf04020g06010.1, Niben101Scf04020g06011.1, Niben101Scf07253g02016.1, Niben101Scf07792g02014.1
OG0000375	Mapoly0013s0155.1.p, Mapoly0059s0065.1.p	Niben101Scf00981g04004.1, Niben101Scf01869g00006.1, Niben101Scf02530g02011.1, Niben101Scf08045g02010.1
OG0000376	Mapoly0006s0024.1.p, Mapoly0016s0115.1.p, Mapoly0059s0020.1.p, Mapoly0178s0027.1.p	Niben101Scf06876g00009.1, Niben101Scf11383g02018.1
OG0000377	Mapoly0059s0090.1.p	Niben101Ctg09661g00001.1, Niben101Scf00693g00008.1, Niben101Scf02133g06009.1, Niben101Scf08167g05001.1, Niben101Scf08167g05003.1
OG0000378	Mapoly0030s0024.1.p, Mapoly0030s0028.1.p, Mapoly0297s0001.1.p	Niben101Scf00046g08005.1, Niben101Scf03444g04026.1, Niben101Scf05341g03002.1
OG0000379	Mapoly0004s0277.1.p, Mapoly0030s0133.1.p, Mapoly0032s0010.1.p, Mapoly0055s0074.1.p	Niben101Scf02042g03021.1, Niben101Scf10465g03006.1
OG0000380	Mapoly0006s0095.1.p	Niben101Scf00259g00002.1, Niben101Scf00453g03018.1, Niben101Scf01634g04009.1, Niben101Scf03283g04015.1, Niben101Scf03651g02007.1
OG0000381	Mapoly0006s0069.1.p	Niben101Scf01834g01020.1, Niben101Scf04738g05012.1, Niben101Scf11019g01008.1, Niben101Scf13240g00001.1, Niben101Scf13240g00005.1
OG0000382	Mapoly0115s0048.1.p	Niben101Scf00343g07001.1, Niben101Scf02272g04015.1, Niben101Scf03350g08003.1, Niben101Scf04117g06008.1, Niben101Scf14179g00002.1
OG0000383	Mapoly0102s0033.1.p	Niben101Ctg11520g00002.1, Niben101Scf00961g04002.1, Niben101Scf01658g02014.1, Niben101Scf02319g06003.1, Niben101Scf02354g04004.1
OG0000384	Mapoly0003s0116.1.p, Mapoly0021s0064.1.p	Niben101Scf00165g03007.1, Niben101Scf01451g00002.1, Niben101Scf04418g08005.1, Niben101Scf04699g01013.1
OG0000385	Mapoly0071s0072.1.p	Niben101Scf00851g06020.1, Niben101Scf00862g02030.1, Niben101Scf01658g02011.1, Niben101Scf03432g01015.1, Niben101Scf06004g00037.1
OG0000386	Mapoly0023s0147.1.p, Mapoly0071s0035.1.p	Niben101Scf00773g08003.1, Niben101Scf00819g05002.1, Niben101Scf03062g02017.1, Niben101Scf04292g07001.1
OG0000387	Mapoly0071s0036.1.p	Niben101Scf01983g16028.1, Niben101Scf03870g00001.1, Niben101Scf04289g01011.1, Niben101Scf06734g00014.1, Niben101Scf06974g00016.1
OG0000388	Mapoly0018s0001.1.p, MapolyY_B0005.1.p	Niben101Scf01305g01003.1, Niben101Scf02821g03014.1, Niben101Scf03662g00006.1, Niben101Scf06814g01022.1
OG0000389	Mapoly0002s0102.1.p, Mapoly0018s0029.1.p	Niben101Scf04103g11006.1, Niben101Scf04114g02039.1, Niben101Scf07103g01020.1, Niben101Scf11178g01001.1
OG0000390	Mapoly0072s0090.1.p	Niben101Scf01774g02019.1, Niben101Scf01863g04003.1, Niben101Scf01933g08007.1, Niben101Scf02936g00010.1, Niben101Scf05431g01012.1
OG0000391	Mapoly0072s0102.1.p	Niben101Scf00872g03005.1, Niben101Scf03150g06002.1, Niben101Scf06059g01001.1, Niben101Scf10767g03010.1, Niben101Scf16806g00003.1
OG0000392	Mapoly0001s0005.1.p, Mapoly0080s0065.1.p, Mapoly0121s0032.1.p, Mapoly2859s0001.1.p	Niben101Scf04987g00021.1, Niben101Scf07599g00015.1
OG0000393	Mapoly0063s0050.1.p, Mapoly0064s0034.1.p, Mapoly0079s0056.1.p	Niben101Scf01434g03006.1, Niben101Scf01506g02001.1, Niben101Scf06364g00003.1
OG0000394	Mapoly0049s0002.1.p	Niben101Scf00305g03001.1, Niben101Scf00305g03012.1, Niben101Scf00592g00024.1, Niben101Scf00606g03012.1, Niben101Scf34081g00020.1
OG0000395	Mapoly1350s0001.1.p	Niben101Scf01774g07007.1, Niben101Scf01863g07004.1, Niben101Scf03419g10007.1, Niben101Scf05610g03025.1, Niben101Scf07206g01006.1
OG0000396	Mapoly0044s0113.1.p, Mapoly0055s0003.1.p, Mapoly0055s0112.1.p, Mapoly0111s0058.1.p	Niben101Scf00176g06012.1, Niben101Scf02298g03008.1
OG0000397	Mapoly0097s0021.1.p	Niben101Scf00298g01006.1, Niben101Scf07798g03026.1, Niben101Scf08651g00010.1, Niben101Scf16657g00010.1, Niben101Scf34602g00003.1
OG0000398	Mapoly0001s0559.1.p, Mapoly0097s0037.1.p	Niben101Scf05407g00011.1, Niben101Scf06919g00029.1, Niben101Scf07383g12007.1, Niben101Scf21301g00011.1
OG0000399	Mapoly0003s0127.1.p, Mapoly0074s0083.1.p, Mapoly1996s0001.1.p	Niben101Scf03960g00001.1, Niben101Scf04777g05003.1, Niben101Scf06663g00019.1
OG0000400	Mapoly0003s0194.1.p	Niben101Scf01412g00019.1, Niben101Scf01727g00006.1, Niben101Scf07522g00002.1, Niben101Scf08683g00003.1, Niben101Scf11491g01015.1
OG0000401	Mapoly0003s0293.1.p	Niben101Scf00868g06002.1, Niben101Scf01374g01004.1, Niben101Scf04494g00022.1, Niben101Scf04995g01002.1, Niben101Scf06044g00004.1
OG0000402	Mapoly0003s0312.1.p	Niben101Scf00111g00009.1, Niben101Scf00682g04017.1, Niben101Scf03973g00007.1, Niben101Scf04875g06005.1, Niben101Scf07706g00022.1
OG0000403	Mapoly0158s0025.1.p	Niben101Scf01695g01017.1, Niben101Scf01763g02016.1, Niben101Scf03129g02009.1, Niben101Scf08266g00005.1, Niben101Scf12330g02004.1
OG0000404	Mapoly0019s0169.1.p	Niben101Ctg13431g00004.1, Niben101Scf00457g13007.1, Niben101Scf04557g00001.1, Niben101Scf04643g04001.1, Niben101Scf13823g03007.1
OG0000405	Mapoly0019s0137.1.p	Niben101Ctg11814g00001.1, Niben101Scf01221g05018.1, Niben101Scf02860g01013.1, Niben101Scf05281g00001.1, Niben101Scf05929g06002.1
OG0000406	Mapoly0019s0115.1.p	Niben101Scf05077g01012.1, Niben101Scf05588g05005.1, Niben101Scf05702g02005.1, Niben101Scf10328g00013.1, Niben101Scf11802g02002.1
OG0000407	Mapoly0019s0134.1.p	Niben101Scf00687g04018.1, Niben101Scf01334g06010.1, Niben101Scf01773g04003.1, Niben101Scf02558g00030.1, Niben101Scf09781g00016.1
OG0000408	Mapoly0019s0096.1.p	Niben101Scf00073g05010.1, Niben101Scf01983g15010.1, Niben101Scf04132g01002.1, Niben101Scf05948g02026.1, Niben101Scf12841g03023.1
OG0000409	Mapoly0009s0129.1.p, Mapoly0048s0091.1.p, Mapoly0052s0121.1.p	Niben101Scf02840g00002.1, Niben101Scf02840g00003.1, Niben101Scf10322g01028.1
OG0000410	Mapoly0048s0104.1.p	Niben101Scf00294g01005.1, Niben101Scf03990g01008.1, Niben101Scf06392g01011.1, Niben101Scf06397g02002.1, Niben101Scf10260g00003.1
OG0000411	Mapoly0048s0020.1.p	Niben101Ctg15207g00002.1, Niben101Scf00279g01008.1, Niben101Scf01894g03006.1, Niben101Scf13916g01016.1, Niben101Scf13916g01022.1
OG0000412	Mapoly0008s0264.1.p, Mapoly0032s0028.1.p, Mapoly0048s0080.1.p, Mapoly0084s0028.1.p, Mapoly0100s0019.1.p	Niben101Scf07355g01009.1
OG0000413	Mapoly0032s0120.1.p	Niben101Scf02346g06001.1, Niben101Scf02404g01015.1, Niben101Scf02539g01001.1, Niben101Scf04514g02018.1, Niben101Scf17753g00002.1
OG0000414	Mapoly0032s0025.1.p	Niben101Scf00742g01035.1, Niben101Scf02344g00006.1, Niben101Scf03863g07002.1, Niben101Scf04071g00009.1, Niben101Scf09417g00001.1
OG0000415	Mapoly0032s0037.1.p	Niben101Scf00160g10001.1, Niben101Scf01983g16029.1, Niben101Scf01983g16030.1, Niben101Scf12841g01003.1, Niben101Scf12841g02008.1
OG0000416	Mapoly0057s0035.1.p	Niben101Scf00884g00015.1, Niben101Scf00884g00022.1, Niben101Scf01818g00015.1, Niben101Scf05405g09001.1, Niben101Scf07417g01015.1
OG0000417	Mapoly0057s0106.1.p	Niben101Ctg07261g00001.1, Niben101Scf00290g00019.1, Niben101Scf04284g00020.1, Niben101Scf05238g01004.1, Niben101Scf07825g05007.1
OG0000418	Mapoly0057s0052.1.p, Mapoly0057s0058.1.p	Niben101Scf03422g04011.1, Niben101Scf05417g03025.1, Niben101Scf06369g05020.1, Niben101Scf06646g00005.1
OG0000419	Mapoly0057s0095.1.p	Niben101Scf03045g02019.1, Niben101Scf03214g01020.1, Niben101Scf04113g07009.1, Niben101Scf04113g07014.1, Niben101Scf06171g02019.1
